Абсолютный путь,Относительный путь,Имя классa
/home/cossieman2000/WORK/python/dataset/polar bear/0019.jpg,/python/dataset/polar bear/0019.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0020.jpg,/python/dataset/polar bear/0020.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0021.jpg,/python/dataset/polar bear/0021.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0022.jpg,/python/dataset/polar bear/0022.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0023.jpg,/python/dataset/polar bear/0023.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0024.jpg,/python/dataset/polar bear/0024.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0025.jpg,/python/dataset/polar bear/0025.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0026.jpg,/python/dataset/polar bear/0026.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0027.jpg,/python/dataset/polar bear/0027.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0028.jpg,/python/dataset/polar bear/0028.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0029.jpg,/python/dataset/polar bear/0029.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0030.jpg,/python/dataset/polar bear/0030.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0031.jpg,/python/dataset/polar bear/0031.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0032.jpg,/python/dataset/polar bear/0032.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0033.jpg,/python/dataset/polar bear/0033.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0034.jpg,/python/dataset/polar bear/0034.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0035.jpg,/python/dataset/polar bear/0035.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0036.jpg,/python/dataset/polar bear/0036.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0037.jpg,/python/dataset/polar bear/0037.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0038.jpg,/python/dataset/polar bear/0038.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0039.jpg,/python/dataset/polar bear/0039.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0040.jpg,/python/dataset/polar bear/0040.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0041.jpg,/python/dataset/polar bear/0041.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0042.jpg,/python/dataset/polar bear/0042.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0043.jpg,/python/dataset/polar bear/0043.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0044.jpg,/python/dataset/polar bear/0044.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0045.jpg,/python/dataset/polar bear/0045.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0046.jpg,/python/dataset/polar bear/0046.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0047.jpg,/python/dataset/polar bear/0047.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0048.jpg,/python/dataset/polar bear/0048.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0049.jpg,/python/dataset/polar bear/0049.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0050.jpg,/python/dataset/polar bear/0050.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0051.jpg,/python/dataset/polar bear/0051.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0052.jpg,/python/dataset/polar bear/0052.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0053.jpg,/python/dataset/polar bear/0053.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0054.jpg,/python/dataset/polar bear/0054.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0055.jpg,/python/dataset/polar bear/0055.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0056.jpg,/python/dataset/polar bear/0056.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0057.jpg,/python/dataset/polar bear/0057.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0058.jpg,/python/dataset/polar bear/0058.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0059.jpg,/python/dataset/polar bear/0059.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0060.jpg,/python/dataset/polar bear/0060.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0061.jpg,/python/dataset/polar bear/0061.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0062.jpg,/python/dataset/polar bear/0062.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0063.jpg,/python/dataset/polar bear/0063.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0064.jpg,/python/dataset/polar bear/0064.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0065.jpg,/python/dataset/polar bear/0065.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0066.jpg,/python/dataset/polar bear/0066.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0067.jpg,/python/dataset/polar bear/0067.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0068.jpg,/python/dataset/polar bear/0068.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0069.jpg,/python/dataset/polar bear/0069.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0070.jpg,/python/dataset/polar bear/0070.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0071.jpg,/python/dataset/polar bear/0071.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0072.jpg,/python/dataset/polar bear/0072.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0073.jpg,/python/dataset/polar bear/0073.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0074.jpg,/python/dataset/polar bear/0074.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0075.jpg,/python/dataset/polar bear/0075.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0076.jpg,/python/dataset/polar bear/0076.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0077.jpg,/python/dataset/polar bear/0077.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0078.jpg,/python/dataset/polar bear/0078.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0079.jpg,/python/dataset/polar bear/0079.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0080.jpg,/python/dataset/polar bear/0080.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0081.jpg,/python/dataset/polar bear/0081.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0082.jpg,/python/dataset/polar bear/0082.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0083.jpg,/python/dataset/polar bear/0083.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0084.jpg,/python/dataset/polar bear/0084.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0085.jpg,/python/dataset/polar bear/0085.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0086.jpg,/python/dataset/polar bear/0086.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0087.jpg,/python/dataset/polar bear/0087.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0088.jpg,/python/dataset/polar bear/0088.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0089.jpg,/python/dataset/polar bear/0089.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0090.jpg,/python/dataset/polar bear/0090.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0091.jpg,/python/dataset/polar bear/0091.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0092.jpg,/python/dataset/polar bear/0092.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0093.jpg,/python/dataset/polar bear/0093.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0094.jpg,/python/dataset/polar bear/0094.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0095.jpg,/python/dataset/polar bear/0095.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0096.jpg,/python/dataset/polar bear/0096.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0097.jpg,/python/dataset/polar bear/0097.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0098.jpg,/python/dataset/polar bear/0098.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0099.jpg,/python/dataset/polar bear/0099.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0100.jpg,/python/dataset/polar bear/0100.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0101.jpg,/python/dataset/polar bear/0101.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0102.jpg,/python/dataset/polar bear/0102.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0103.jpg,/python/dataset/polar bear/0103.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0104.jpg,/python/dataset/polar bear/0104.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0105.jpg,/python/dataset/polar bear/0105.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0106.jpg,/python/dataset/polar bear/0106.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0107.jpg,/python/dataset/polar bear/0107.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0108.jpg,/python/dataset/polar bear/0108.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0109.jpg,/python/dataset/polar bear/0109.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0110.jpg,/python/dataset/polar bear/0110.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0111.jpg,/python/dataset/polar bear/0111.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0112.jpg,/python/dataset/polar bear/0112.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0113.jpg,/python/dataset/polar bear/0113.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0114.jpg,/python/dataset/polar bear/0114.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0115.jpg,/python/dataset/polar bear/0115.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0116.jpg,/python/dataset/polar bear/0116.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0117.jpg,/python/dataset/polar bear/0117.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0118.jpg,/python/dataset/polar bear/0118.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0119.jpg,/python/dataset/polar bear/0119.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0120.jpg,/python/dataset/polar bear/0120.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0121.jpg,/python/dataset/polar bear/0121.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0122.jpg,/python/dataset/polar bear/0122.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0123.jpg,/python/dataset/polar bear/0123.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0124.jpg,/python/dataset/polar bear/0124.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0125.jpg,/python/dataset/polar bear/0125.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0126.jpg,/python/dataset/polar bear/0126.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0127.jpg,/python/dataset/polar bear/0127.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0128.jpg,/python/dataset/polar bear/0128.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0129.jpg,/python/dataset/polar bear/0129.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0130.jpg,/python/dataset/polar bear/0130.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0131.jpg,/python/dataset/polar bear/0131.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0132.jpg,/python/dataset/polar bear/0132.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0133.jpg,/python/dataset/polar bear/0133.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0134.jpg,/python/dataset/polar bear/0134.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0135.jpg,/python/dataset/polar bear/0135.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0136.jpg,/python/dataset/polar bear/0136.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0137.jpg,/python/dataset/polar bear/0137.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0138.jpg,/python/dataset/polar bear/0138.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0139.jpg,/python/dataset/polar bear/0139.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0140.jpg,/python/dataset/polar bear/0140.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0141.jpg,/python/dataset/polar bear/0141.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0142.jpg,/python/dataset/polar bear/0142.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0143.jpg,/python/dataset/polar bear/0143.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0144.jpg,/python/dataset/polar bear/0144.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0145.jpg,/python/dataset/polar bear/0145.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0146.jpg,/python/dataset/polar bear/0146.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0147.jpg,/python/dataset/polar bear/0147.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0148.jpg,/python/dataset/polar bear/0148.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0149.jpg,/python/dataset/polar bear/0149.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0150.jpg,/python/dataset/polar bear/0150.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0151.jpg,/python/dataset/polar bear/0151.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0152.jpg,/python/dataset/polar bear/0152.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0153.jpg,/python/dataset/polar bear/0153.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0154.jpg,/python/dataset/polar bear/0154.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0155.jpg,/python/dataset/polar bear/0155.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0156.jpg,/python/dataset/polar bear/0156.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0157.jpg,/python/dataset/polar bear/0157.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0158.jpg,/python/dataset/polar bear/0158.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0159.jpg,/python/dataset/polar bear/0159.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0160.jpg,/python/dataset/polar bear/0160.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0161.jpg,/python/dataset/polar bear/0161.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0162.jpg,/python/dataset/polar bear/0162.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0163.jpg,/python/dataset/polar bear/0163.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0164.jpg,/python/dataset/polar bear/0164.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0165.jpg,/python/dataset/polar bear/0165.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0166.jpg,/python/dataset/polar bear/0166.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0167.jpg,/python/dataset/polar bear/0167.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0168.jpg,/python/dataset/polar bear/0168.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0169.jpg,/python/dataset/polar bear/0169.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0170.jpg,/python/dataset/polar bear/0170.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0171.jpg,/python/dataset/polar bear/0171.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0172.jpg,/python/dataset/polar bear/0172.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0173.jpg,/python/dataset/polar bear/0173.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0174.jpg,/python/dataset/polar bear/0174.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0175.jpg,/python/dataset/polar bear/0175.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0176.jpg,/python/dataset/polar bear/0176.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0177.jpg,/python/dataset/polar bear/0177.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0178.jpg,/python/dataset/polar bear/0178.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0179.jpg,/python/dataset/polar bear/0179.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0180.jpg,/python/dataset/polar bear/0180.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0181.jpg,/python/dataset/polar bear/0181.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0182.jpg,/python/dataset/polar bear/0182.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0183.jpg,/python/dataset/polar bear/0183.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0184.jpg,/python/dataset/polar bear/0184.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0185.jpg,/python/dataset/polar bear/0185.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0186.jpg,/python/dataset/polar bear/0186.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0187.jpg,/python/dataset/polar bear/0187.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0188.jpg,/python/dataset/polar bear/0188.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0189.jpg,/python/dataset/polar bear/0189.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0190.jpg,/python/dataset/polar bear/0190.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0191.jpg,/python/dataset/polar bear/0191.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0192.jpg,/python/dataset/polar bear/0192.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0193.jpg,/python/dataset/polar bear/0193.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0194.jpg,/python/dataset/polar bear/0194.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0195.jpg,/python/dataset/polar bear/0195.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0196.jpg,/python/dataset/polar bear/0196.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0197.jpg,/python/dataset/polar bear/0197.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0198.jpg,/python/dataset/polar bear/0198.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0199.jpg,/python/dataset/polar bear/0199.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0200.jpg,/python/dataset/polar bear/0200.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0201.jpg,/python/dataset/polar bear/0201.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0202.jpg,/python/dataset/polar bear/0202.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0203.jpg,/python/dataset/polar bear/0203.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0204.jpg,/python/dataset/polar bear/0204.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0205.jpg,/python/dataset/polar bear/0205.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0206.jpg,/python/dataset/polar bear/0206.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0207.jpg,/python/dataset/polar bear/0207.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0208.jpg,/python/dataset/polar bear/0208.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0209.jpg,/python/dataset/polar bear/0209.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0210.jpg,/python/dataset/polar bear/0210.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0211.jpg,/python/dataset/polar bear/0211.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0212.jpg,/python/dataset/polar bear/0212.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0213.jpg,/python/dataset/polar bear/0213.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0214.jpg,/python/dataset/polar bear/0214.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0215.jpg,/python/dataset/polar bear/0215.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0216.jpg,/python/dataset/polar bear/0216.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0217.jpg,/python/dataset/polar bear/0217.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0218.jpg,/python/dataset/polar bear/0218.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0219.jpg,/python/dataset/polar bear/0219.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0220.jpg,/python/dataset/polar bear/0220.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0221.jpg,/python/dataset/polar bear/0221.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0222.jpg,/python/dataset/polar bear/0222.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0223.jpg,/python/dataset/polar bear/0223.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0224.jpg,/python/dataset/polar bear/0224.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0225.jpg,/python/dataset/polar bear/0225.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0226.jpg,/python/dataset/polar bear/0226.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0227.jpg,/python/dataset/polar bear/0227.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0228.jpg,/python/dataset/polar bear/0228.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0229.jpg,/python/dataset/polar bear/0229.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0230.jpg,/python/dataset/polar bear/0230.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0231.jpg,/python/dataset/polar bear/0231.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0232.jpg,/python/dataset/polar bear/0232.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0233.jpg,/python/dataset/polar bear/0233.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0234.jpg,/python/dataset/polar bear/0234.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0235.jpg,/python/dataset/polar bear/0235.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0236.jpg,/python/dataset/polar bear/0236.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0237.jpg,/python/dataset/polar bear/0237.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0238.jpg,/python/dataset/polar bear/0238.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0239.jpg,/python/dataset/polar bear/0239.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0240.jpg,/python/dataset/polar bear/0240.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0241.jpg,/python/dataset/polar bear/0241.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0242.jpg,/python/dataset/polar bear/0242.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0243.jpg,/python/dataset/polar bear/0243.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0244.jpg,/python/dataset/polar bear/0244.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0245.jpg,/python/dataset/polar bear/0245.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0246.jpg,/python/dataset/polar bear/0246.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0247.jpg,/python/dataset/polar bear/0247.jpg,polar bear
/home/cossieman2000/WORK/python/dataset/polar bear/0248.jpg,/python/dataset/polar bear/0248.jpg,polar bear
